Year,Month,"Unemployment rates by State, not seasonally adjusted"
1978,April,5.4
1978,August,5.4
1978,December,5.3
1978,February,6.7
1978,January,6.8
1978,July,5.7
1978,Jun,5.9
1978,March,6.3
1978,May,5.2
1978,November,5.2
1978,October,5.0
1978,September,5.3
1979,April,5.3
1979,August,5.4
1979,December,5.5
1979,February,6.2
1979,January,6.2
1979,July,5.4
1979,Jun,5.7
1979,March,5.9
1979,May,5.0
1979,November,5.3
1979,October,5.2
1979,September,5.2
1980,April,6.4
1980,August,7.2
1980,December,6.8
1980,February,6.6
1980,January,6.6
1980,July,7.4
1980,Jun,7.5
1980,March,6.4
1980,May,6.6
1980,November,6.8
1980,October,6.8
1980,September,6.8
1981,April,6.8
1981,August,6.9
1981,December,8.0
1981,February,7.8
1981,January,8.0
1981,July,7.0
1981,Jun,7.5
1981,March,7.5
1981,May,6.8
1981,November,7.5
1981,October,7.1
1981,September,6.9
1982,April,8.8
1982,August,9.1
1982,December,9.8
1982,February,9.3
1982,January,9.1
1982,July,9.2
1982,Jun,9.4
1982,March,9.1
1982,May,8.7
1982,November,9.7
1982,October,9.3
1982,September,9.1
1983,April,9.6
1983,August,8.6
1983,December,7.7
1983,February,10.8
1983,January,10.9
1983,July,8.9
1983,Jun,9.6
1983,March,10.4
1983,May,9.3
1983,November,7.8
1983,October,7.9
1983,September,8.3
1984,April,7.4
1984,August,7.0
1984,December,6.9
1984,February,8.3
1984,January,8.6
1984,July,7.1
1984,Jun,7.3
1984,March,7.9
1984,May,7.0
1984,November,6.7
1984,October,6.7
1984,September,6.8
1985,April,7.1
1985,August,6.7
1985,December,6.7
1985,February,7.8
1985,January,8.0
1985,July,7.1
1985,Jun,7.3
1985,March,7.5
1985,May,6.8
1985,November,6.6
1985,October,6.5
1985,September,6.6
1986,April,7.0
1986,August,6.6
1986,December,6.3
1986,February,7.8
1986,January,7.5
1986,July,6.9
1986,Jun,7.3
1986,March,7.5
1986,May,6.8
1986,November,6.6
1986,October,6.5
1986,September,6.6
1987,April,6.2
1987,August,5.8
1987,December,5.5
1987,February,7.3
1987,January,7.4
1987,July,6.0
1987,Jun,6.4
1987,March,7.0
1987,May,6.1
1987,November,5.6
1987,October,5.6
1987,September,5.7
1988,April,5.3
1988,August,5.3
1988,December,5.0
1988,February,6.3
1988,January,6.5
1988,July,5.4
1988,Jun,5.6
1988,March,6.0
1988,May,5.3
1988,November,5.0
1988,October,4.9
1988,September,5.1
1989,April,5.0
1989,August,4.9
1989,December,4.9
1989,February,5.7
1989,January,6.0
1989,July,5.1
1989,Jun,5.4
1989,March,5.3
1989,May,4.9
1989,November,5.0
1989,October,4.8
1989,September,4.9
1990,April,5.2
1990,August,5.3
1990,December,5.8
1990,February,5.8
1990,January,5.9
1990,July,5.3
1990,Jun,5.3
1990,March,5.4
1990,May,5.0
1990,November,5.6
1990,October,5.2
1990,September,5.3
1991,April,6.3
1991,August,6.2
1991,December,6.5
1991,February,7.0
1991,January,6.9
1991,July,6.4
1991,Jun,6.7
1991,March,6.9
1991,May,6.3
1991,November,6.3
1991,October,6.0
1991,September,6.1
1992,April,6.7
1992,August,6.7
1992,December,6.5
1992,February,7.7
1992,January,7.6
1992,July,6.9
1992,Jun,7.3
1992,March,7.3
1992,May,6.7
1992,November,6.4
1992,October,6.2
1992,September,6.5
1993,April,6.4
1993,August,6.0
1993,December,5.7
1993,February,7.2
1993,January,7.4
1993,July,6.3
1993,Jun,6.6
1993,March,6.9
1993,May,6.2
1993,November,5.6
1993,October,5.7
1993,September,5.8
1994,April,5.7
1994,August,5.4
1994,December,4.9
1994,February,6.6
1994,January,6.8
1994,July,5.6
1994,Jun,5.8
1994,March,6.4
1994,May,5.4
1994,November,4.9
1994,October,5.0
1994,September,5.1
1995,April,5.2
1995,August,5.1
1995,December,5.0
1995,February,5.7
1995,January,5.9
1995,July,5.4
1995,Jun,5.5
1995,March,5.5
1995,May,5.1
1995,November,4.9
1995,October,4.8
1995,September,5.0
1996,April,5.1
